country_code,country_name,indicator_code,indicator_name,year,value,date_retrieved
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),2024,389059911003.566,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),2023,395926075163.006,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),2022,476747720364.742,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),2021,424671765455.704,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),2020,383817841547.099,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),2019,318678815489.749,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),2018,262588632526.73,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),2017,248362771739.13,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),2016,332441717791.411,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),2015,329366576819.407,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),2014,305595408895.265,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),2013,288434108527.132,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),2012,279116666666.667,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),2011,235989672977.625,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),2010,218983666061.706,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),2009,189147005444.646,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),2008,162818181818.182,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),2007,130437828371.278,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),2006,107426086956.522,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),2005,89660339660.3397,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),2004,78782467532.4675,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),2003,80288461538.4615,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),2002,85146067415.7303,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),2001,96684636118.5984,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),2000,99838543960.0763,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),1999,90710704806.8416,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),1998,84828807556.0803,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),1997,78436578171.0914,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),1996,67629716981.1321,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),1995,60159245060.4541,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),1994,51897983392.6453,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),1993,46578631452.581,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),1992,41855986519.4235,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),1991,37387836490.5284,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),1990,42978914311.3504,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),1989,39756299049.9793,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),1988,34980124929.0176,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),1987,40455616653.5742,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),1986,41253507951.3564,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),1985,39053502251.0732,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),1984,33971188991.6147,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),1983,30966239813.7369,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),1982,27655172413.7931,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),1981,22136081081.0811,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),1980,21669908176.3889,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),1979,18020571428.5714,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),1978,14811704063.0685,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),1977,14400806875.9867,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),1976,13315988083.4161,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),1975,11632178868.9171,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),1974,9228963224.60004,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),1973,10098534613.4411,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),1972,9299638055.84281,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),1971,8609283346.08518,2026-04-15 23:34:44.394977
EGY,"Egypt, Arab Rep.",NY.GDP.MKTP.CD,GDP (current US$),1970,8042200452.1477,2026-04-15 23:34:44.394977
